,timestamp,tweet_text,username,all_hashtags,followers_count,favorite_count,retweets_count,length_of_tweet
0,2020-06-22 17:44:34,What all China wants India to do and not do   ,GENERAL_DILAWAR,"['China', 'India', 'Chinese']",268,0,0,46
1,2020-06-22 17:44:13,"    Does SC seem to be running ? Everything is going thru ""SC test"". And they seem to oblige the Govt many times. Plz do not set this new precedent ... Secondly, is  over? Is  more important than lives? Or has  given an exemption?",RohitAarrya,"['India', 'Covid', 'RathYatra2020', 'coronavirus']",91,0,0,230
2,2020-06-22 17:44:07,Round 2 in  very likely to announce another set of fiscal stimulus measures: Fitch - The Economic Times ,IndiaER,['India'],36947,0,0,104
3,2020-06-22 17:43:29," For weeks  has been lying AGAIN claims  is cross in to their territory..I knew it was BS, i knew  was lying has been caught in so many liesNations need hold  accountable ",Vent2theworld,"['china', 'india', 'china', 'china', 'china', 'ChinaLiedPeopleDied', 'ChinaMustPay']",163,0,0,171
4,2020-06-22 17:43:27,"  has become a destructive force under  and is on a war path with the entire world. It has increased hostilities in ,  and . We're dooming ourselves by waiting around for China to become a productive part of the globalized world.",MaiHuongGV,"['China', 'CCP', 'India', 'HongKong', 'SouthChinaSea']",64,0,0,229
5,2020-06-22 17:42:36, ki fatt gayi hai.Nw it dsnt wan 2go 2war  xpoz itslf of hvn an army of sissies. It wants 2 menten d paid media-made clout of hvn a strong army blah blah.  shudnt fall in dis trap.Mek dem sign on a clear bordr demarcation agreement. ,SurrealSuperman,"['China', 'india', 'BhusanKumar', 'UnsubscribeTSeries']",10,2,0,233
6,2020-06-22 17:42:10,"Continuing to highlight the new Seven Wonders of the World,.Today's picture is of the Taj Mahal            ",UHDStudyAbroad,"['internationaleducation', 'wanderlust', 'TRAVELDEEPER', 'THEPRETTYCITIES', 'uhdofficial', 'uhd_studentactivities', 'uhdcps', 'indian', 'india', 'bollywood', 'fashion', 'indianfood', 'visitindia', 'TajMahal']",26,0,0,107
7,2020-06-22 17:41:46,"   gifted CORONA to the whole world. gifted YOGA to the whole world.Difference is in basic of life  culture.  wants to kill the world   meditate the world. captures others territory,  help other to establish democracy  rights ",bharath_53,"['china', 'INDIA', 'china', 'India', 'China', 'India', 'chinafears']",21,0,0,226
8,2020-06-22 17:41:43, We need   to be the  who only can truly understand the  and give  A true  govt ,thinkvivekkala,"['BehanJi', 'DalitPM', 'castematters', 'India', 'Sarvjanhitay', 'DalitLivesMatter']",135,0,0,80
9,2020-06-22 17:41:36,"Like 1971, can we make  a free country with a condition of including  in  with over 10 or 20 years of security promise to      I wish this would be possible if we decide",siddharth_ups,"['Tibet', 'Mansarovar', 'India', 'Tibet']",80,0,0,169
