timestamp,tweet_text,username,all_hashtags,followers_count,favorite_count,retweets_count,length_of_tweet
2020-06-22 17:44:34,b'What all China wants India to do and not do#China #India #Chinese https://t.co/l76jSOXzBu',b'GENERAL_DILAWAR',"['China', 'India', 'Chinese']",268,0,0,89
2020-06-22 17:44:13,"b'@nsitharaman @AmitShah @PMOIndia @narendramodi Does\'nt SC seem to be running #India? Everything is going thru ""SC test"". And they seem to oblige the Govt many times. Plz do not set this new precedent ... Secondly, is #Covid over? Is #RathYatra2020 more important than lives? Or has #coronavirus given an exemption?'",b'RohitAarrya',"['India', 'Covid', 'RathYatra2020', 'coronavirus']",91,0,0,314
2020-06-22 17:44:07,b'Round 2 in #IndiaIndia very likely to announce another set of fiscal stimulus measures: Fitch - The Economic Times https://t.co/m0HSGGQKhf',b'IndiaER',['India'],36947,0,0,138
2020-06-22 17:43:29,"b'@UNNTV1 For weeks @china has been lying AGAIN#china claims #india is cross in to their territory..I knew it was BS, i knew #china was lying#china has been caught in so many liesNations need hold #china accountable#ChinaLiedPeopleDied #ChinaMustPay'",b'Vent2theworld',"['china', 'india', 'china', 'china', 'china', 'ChinaLiedPeopleDied', 'ChinaMustPay']",163,0,0,247
2020-06-22 17:43:27,"b""@j_laurenceson #China has become a destructive force under #CCP and is on a war path with the entire world. It has increased hostilities in #India, #HongKong and #SouthChinaSea. We're dooming ourselves by waiting around for China to become a productive part of the globalized world.""",b'MaiHuongGV',"['China', 'CCP', 'India', 'HongKong', 'SouthChinaSea']",64,0,0,282
2020-06-22 17:42:36,b'#China ki fatt gayi hai.Nw it dsnt wan 2go 2war &amp; xpoz itslf of hvn an army of sissies. It wants 2 menten d paid media-made clout of hvn a strong army blah blah. #india shudnt fall in dis trap.Mek dem sign on a clear bordr demarcation agreement.#BhusanKumar #UnsubscribeTSeries',b'SurrealSuperman',"['China', 'india', 'BhusanKumar', 'UnsubscribeTSeries']",10,2,0,281
2020-06-22 17:42:10,"b""Continuing to highlight the \xe2\x80\x9cnew Seven Wonders of the World,\xe2\x80\x9d.Today's picture is of the Taj Mahal#internationaleducation#wanderlust #TRAVELDEEPER#THEPRETTYCITIES #uhdofficial #uhd_studentactivities #uhdcps #indian #india #bollywood #fashion #indianfood #visitindia #TajMahal https://t.co/JkoghpFw11""",b'UHDStudyAbroad',"['internationaleducation', 'wanderlust', 'TRAVELDEEPER', 'THEPRETTYCITIES', 'uhdofficial', 'uhd_studentactivities', 'uhdcps', 'indian', 'india', 'bollywood', 'fashion', 'indianfood', 'visitindia', 'TajMahal']",26,0,0,302
2020-06-22 17:41:46,"b'@GtOpinion @globaltimesnews #china gifted CORONA to the whole world.#INDIA gifted YOGA to the whole world.Difference is in basic of life &amp; culture. #china wants to kill the world &amp; #India meditate the world.#China captures others territory, #India help other to establish democracy &amp; rights #chinafears'",b'bharath_53',"['china', 'INDIA', 'china', 'India', 'China', 'India', 'chinafears']",21,0,0,314
2020-06-22 17:41:43,b'@tufailelif We need #BehanJi @Mayawati to be the #DalitPM who only can truly understand the #castematters and give #India A true #Sarvjanhitay govt #DalitLivesMatter',b'thinkvivekkala',"['BehanJi', 'DalitPM', 'castematters', 'India', 'Sarvjanhitay', 'DalitLivesMatter']",135,0,0,165
2020-06-22 17:41:36,"b'Like 1971, can we make #Tibet a free country with a condition of including #Mansarovar in #India with over 10 or 20 years of security promise to #Tibet@narendramodi @AmitShah @RubikaLiyaquat @aajtak @RajatSharmaLive I wish this would be possible if we decide'",b'siddharth_ups',"['Tibet', 'Mansarovar', 'India', 'Tibet']",80,0,0,258
2020-06-22 17:41:22,b'@Radhika40734210 @wangchunghua @Chhijinping @globaltimesnews #EU is against #CCP_is_terrorist#US is against #CCP#India is giving bloody nose and breaking necks of low Moral coward #PLA#Taiwan is chasing China away#HongKong is giving bloody nose#Russia selling deadly weapon to #India#China citizens fighting with #CCPAny Shame Left?',b'UsaKapil',"['EU', 'CCP_is_terrorist', 'US', 'CCP', 'India', 'PLA', 'Taiwan', 'HongKong', 'Russia', 'India', 'China', 'CCP']",1179,0,0,332
2020-06-22 17:41:14,b'@wangchunghua @Chhijinping @globaltimesnews #EU is against #CCP_is_terrorist#US is against #CCP#India is giving bloody nose and breaking necks of low Moral coward #PLA#Taiwan is chasing China away#HongKong is giving bloody nose#Russia selling deadly weapon to #India#China citizens fighting with #CCPAny Shame Left?',b'UsaKapil',"['EU', 'CCP_is_terrorist', 'US', 'CCP', 'India', 'PLA', 'Taiwan', 'HongKong', 'Russia', 'India', 'China', 'CCP']",1179,0,0,315
2020-06-22 17:41:14,b'#India offers its deep condolences to the family members of 45 #PLA soldiers who lost life in #GalwanValleyFaceOff #IndianArmy successfully defended the Indian territory. #India asks #China to discipline #PLA and go back to avoid further Chinese losses. @ChaoNmh #GlobalTimes',b'sam4mind',"['India', 'PLA', 'GalwanValleyFaceOff', 'IndianArmy', 'India', 'China', 'PLA', 'GlobalTimes']",3,1,0,275
2020-06-22 17:41:04,b'someone came out of the ground whose face and body was covered with wild grass and took him underground. #MARK was swallowed by the ground while the other pilot #AbhinandanVarthaman returned to #India.#Pakistan #PakistanAirForce #PakistanZindabad #ISI#LongLivePakistan',b'GHaZ_NAwE77',"['MARK', 'AbhinandanVarthaman', 'India', 'Pakistan', 'PakistanAirForce', 'PakistanZindabad', 'ISI', 'LongLivePakistan']",3734,1,1,268
2020-06-22 17:40:56,b'#We always trust on god.god help us.this covid-19 situation are go our #india. https://t.co/4y5jUD3Uz5',b'Devansh67470571',"['We', 'india']",0,1,0,102
2020-06-22 17:40:27,"b'@HigherBP Chic is very angry, throwing tantrums. Wat is ""madarchod"" ? Whenever my soldiers try to talk with indians, they respond with this word.#china #india #Bollywood'",b'XIjinpingpung',"['china', 'india', 'Bollywood']",13,0,0,169
2020-06-22 17:40:10,b'Sheikh Rasheed Highly Energetic Response to PM Modihttps://t.co/tGBu3CP2oS#sheikhrasheed #Modi #Pakistan #India',b'ArchivePak',"['sheikhrasheed', 'Modi', 'Pakistan', 'India']",145,0,0,111
2020-06-22 17:40:08,b'$BTC #Bitcoin well i fucking naild this shit ! In the private group !!! You want to join?? Sign up on my Fiverr ! 15$ ! $BTC $ETH $LTC $XRP#Bitcoin #wewantcrypto #indian #India https://t.co/I9eR1vBdzj',b'akumar_space',"['Bitcoin', 'Bitcoin', 'wewantcrypto', 'indian', 'India']",427,0,0,200
2020-06-22 17:39:58,b'@Chhijinping @globaltimesnews #EU is against #CCP_is_terrorist#US is against #CCP#India is giving bloody nose and breaking necks of low Moral coward #PLA#Taiwan is chasing China away#HongKong is giving bloody nose#Russia selling deadly weapon to #India#China citizens fighting with #CCPAny Shame Left?',b'UsaKapil',"['EU', 'CCP_is_terrorist', 'US', 'CCP', 'India', 'PLA', 'Taiwan', 'HongKong', 'Russia', 'India', 'China', 'CCP']",1179,0,0,301
2020-06-22 17:39:45,b'@globaltimesnews #EU is against #CCP_is_terrorist#US is against #CCP#India is giving bloody nose and breaking necks of low Moral coward #PLA#Taiwan is chasing China away#HongKong is giving bloody nose#Russia selling deadly weapon to #India#China citizens fighting with #CCPAny Shame Left?',b'UsaKapil',"['EU', 'CCP_is_terrorist', 'US', 'CCP', 'India', 'PLA', 'Taiwan', 'HongKong', 'Russia', 'India', 'China', 'CCP']",1179,0,0,288
2020-06-22 17:39:45,"b'#BREAKING Metting  over between Core commander level  between #India and #ChinaSources - The metting lasted for more than 11 hours . First and Main point which india put in duscussion, that India\xe2\x80\x99s pre-condition that status Quo should be restored in the Finger 4-8 area. https://t.co/MIss4jNYWA'",b'sumit0707',"['BREAKING', 'India', 'China']",1405,0,0,296
2020-06-22 17:39:42,"b'Best Whiskey Brands 2020: Scotch vs. Bourbon, Irish, Japanese Whisky - Rolling Stonehttps://t.co/QzvHMQXY0u #WhiskeyNeat #OnTheRocks #Drink #Whiskey #Kentucky #India #Japan'",b'SportWhiskey',"['WhiskeyNeat', 'OnTheRocks', 'Drink', 'Whiskey', 'Kentucky', 'India', 'Japan']",141,0,0,172
2020-06-22 17:39:42,b'And this is after Bihar regiment video #China #India #BiharRegiment #chinesesoldiers https://t.co/xwcBdGFy6m',b'vijaiprabhakarn',"['China', 'India', 'BiharRegiment', 'chinesesoldiers']",304,0,0,108
2020-06-22 17:39:22,"b'COVID lockdown: Relatives wearing protective suits offer funeral prayer for a family member, who died of COVID-19 #delhi #india #covid #lockdown2020 #coronavirus #covid19 #photooftheday #photojournalistmanvender\xe2\x80\xa6 https://t.co/X605GaLdbM'",b'mvashistpti',"['delhi', 'india', 'covid', 'lockdown2020', 'coronavirus', 'covid19', 'photooftheday', 'photojournalistmanvender']",180,0,0,238
2020-06-22 17:39:07,b'@dgftindia This is right time to promote #MakeInIndia mask .#China selling #mask made from undergarments..may be after #COVID19 pandemic..it will open new market for #india in medicals #Medical equipments..@PMOIndia reconsider ...',b'djlinkan',"['MakeInIndia', 'China', 'mask', 'COVID19', 'india', 'Medical']",15,0,0,230
2020-06-22 17:39:05,b'@globaltimesnews @avucic #EU is against #CCP_is_terrorist#US is against #CCP#India is giving bloody nose and breaking necks of low Moral coward #PLA#Taiwan is chasing China away#HongKong is giving bloody nose#Russia selling deadly weapon to #India#China citizens fighting with #CCPAny Shame Left?',b'UsaKapil',"['EU', 'CCP_is_terrorist', 'US', 'CCP', 'India', 'PLA', 'Taiwan', 'HongKong', 'Russia', 'India', 'China', 'CCP']",1179,0,0,296
2020-06-22 17:38:58,"b'This is my latest Painting of our honourable prime minister.Our country is going through a lot right now. Via my painting, I want to say that our country is standing with our Army and with our PM.#India #NarendraModi #painting https://t.co/o4I22SJ4kb'",b'abhijeet_santra',"['India', 'NarendraModi', 'painting']",5,0,0,250
